Namespace(batch_size=32, binary=True, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_069', seed=1, test=None, wd=0.0)
EPOCH 031/200 | Test: loss 2.388927, acc 0.512156, avg acc 0.442035 | Train: loss 2.496379, acc 0.474247, avg acc 0.364466 | lr 0.00070000 | 2022-02-16-09-25-06
EPOCH 032/200 | Test: loss 2.358712, acc 0.526742, avg acc 0.442453 | Train: loss 2.487540, acc 0.472923, avg acc 0.360091 | lr 0.00070000 | 2022-02-16-09-25-36
EPOCH 033/200 | Test: loss 2.404602, acc 0.502026, avg acc 0.410308 | Train: loss 2.461729, acc 0.486564, avg acc 0.375667 | lr 0.00070000 | 2022-02-16-09-26-05
EPOCH 034/200 | Test: loss 2.599218, acc 0.433549, avg acc 0.378192 | Train: loss 2.447822, acc 0.493791, avg acc 0.384289 | lr 0.00070000 | 2022-02-16-09-26-34
EPOCH 035/200 | Test: loss 2.368043, acc 0.534036, avg acc 0.462227 | Train: loss 2.447718, acc 0.495318, avg acc 0.388110 | lr 0.00070000 | 2022-02-16-09-27-04
EPOCH 036/200 | Test: loss 2.402115, acc 0.515397, avg acc 0.441453 | Train: loss 2.431835, acc 0.502239, avg acc 0.393801 | lr 0.00070000 | 2022-02-16-09-27-33
EPOCH 037/200 | Test: loss 2.281010, acc 0.553890, avg acc 0.489233 | Train: loss 2.406554, acc 0.507533, avg acc 0.399326 | lr 0.00070000 | 2022-02-16-09-28-03
EPOCH 038/200 | Test: loss 2.357107, acc 0.521070, avg acc 0.452605 | Train: loss 2.387972, acc 0.518730, avg acc 0.413361 | lr 0.00070000 | 2022-02-16-09-28-32
EPOCH 039/200 | Test: loss 2.311455, acc 0.546596, avg acc 0.469023 | Train: loss 2.395566, acc 0.517406, avg acc 0.408223 | lr 0.00070000 | 2022-02-16-09-29-02
EPOCH 040/200 | Test: loss 2.270401, acc 0.560373, avg acc 0.488384 | Train: loss 2.362889, acc 0.526364, avg acc 0.417798 | lr 0.00049000 | 2022-02-16-09-29-31
EPOCH 041/200 | Test: loss 2.341278, acc 0.531605, avg acc 0.473145 | Train: loss 2.349210, acc 0.535016, avg acc 0.425093 | lr 0.00049000 | 2022-02-16-09-30-00
EPOCH 042/200 | Test: loss 2.278395, acc 0.541329, avg acc 0.483709 | Train: loss 2.332812, acc 0.542549, avg acc 0.430236 | lr 0.00049000 | 2022-02-16-09-30-30
EPOCH 043/200 | Test: loss 2.298910, acc 0.536062, avg acc 0.461837 | Train: loss 2.330790, acc 0.541022, avg acc 0.437248 | lr 0.00049000 | 2022-02-16-09-30-59
EPOCH 044/200 | Test: loss 2.490110, acc 0.480551, avg acc 0.439192 | Train: loss 2.323978, acc 0.550590, avg acc 0.435563 | lr 0.00049000 | 2022-02-16-09-31-29
EPOCH 045/200 | Test: loss 2.209967, acc 0.589546, avg acc 0.508488 | Train: loss 2.318098, acc 0.547842, avg acc 0.442597 | lr 0.00049000 | 2022-02-16-09-31-58
EPOCH 046/200 | Test: loss 2.339542, acc 0.533225, avg acc 0.468442 | Train: loss 2.316229, acc 0.547231, avg acc 0.437622 | lr 0.00049000 | 2022-02-16-09-32-27
EPOCH 047/200 | Test: loss 2.165982, acc 0.615073, avg acc 0.537756 | Train: loss 2.306800, acc 0.559446, avg acc 0.449372 | lr 0.00049000 | 2022-02-16-09-32-56
EPOCH 048/200 | Test: loss 2.175331, acc 0.601702, avg acc 0.510849 | Train: loss 2.305554, acc 0.557207, avg acc 0.452628 | lr 0.00049000 | 2022-02-16-09-33-26
EPOCH 049/200 | Test: loss 2.330769, acc 0.520665, avg acc 0.456791 | Train: loss 2.289618, acc 0.561177, avg acc 0.453371 | lr 0.00049000 | 2022-02-16-09-33-55
EPOCH 050/200 | Test: loss 2.295642, acc 0.543760, avg acc 0.466849 | Train: loss 2.295143, acc 0.561075, avg acc 0.451397 | lr 0.00049000 | 2022-02-16-09-34-25
EPOCH 051/200 | Test: loss 2.292508, acc 0.547002, avg acc 0.485134 | Train: loss 2.286308, acc 0.564027, avg acc 0.461043 | lr 0.00049000 | 2022-02-16-09-34-54
EPOCH 052/200 | Test: loss 2.288473, acc 0.553890, avg acc 0.498686 | Train: loss 2.269352, acc 0.570949, avg acc 0.465165 | lr 0.00049000 | 2022-02-16-09-35-30
EPOCH 053/200 | Test: loss 2.189654, acc 0.592788, avg acc 0.506140 | Train: loss 2.256434, acc 0.576853, avg acc 0.472302 | lr 0.00049000 | 2022-02-16-09-36-00
EPOCH 054/200 | Test: loss 2.290175, acc 0.547812, avg acc 0.488890 | Train: loss 2.245344, acc 0.584487, avg acc 0.479142 | lr 0.00049000 | 2022-02-16-09-36-29
EPOCH 055/200 | Test: loss 2.224199, acc 0.580632, avg acc 0.523419 | Train: loss 2.247718, acc 0.580924, avg acc 0.476904 | lr 0.00049000 | 2022-02-16-09-36-59
EPOCH 056/200 | Test: loss 2.131362, acc 0.621961, avg acc 0.550209 | Train: loss 2.241513, acc 0.583876, avg acc 0.474523 | lr 0.00049000 | 2022-02-16-09-37-28
EPOCH 057/200 | Test: loss 2.430774, acc 0.495948, avg acc 0.442343 | Train: loss 2.225646, acc 0.587541, avg acc 0.483326 | lr 0.00049000 | 2022-02-16-09-37-57
EPOCH 058/200 | Test: loss 2.245684, acc 0.581037, avg acc 0.501215 | Train: loss 2.224495, acc 0.589882, avg acc 0.489705 | lr 0.00049000 | 2022-02-16-09-38-27
EPOCH 059/200 | Test: loss 2.117563, acc 0.647083, avg acc 0.560012 | Train: loss 2.213988, acc 0.592834, avg acc 0.489541 | lr 0.00049000 | 2022-02-16-09-38-56
EPOCH 060/200 | Test: loss 2.155275, acc 0.617504, avg acc 0.551000 | Train: loss 2.195419, acc 0.599450, avg acc 0.497614 | lr 0.00034300 | 2022-02-16-09-39-25
EPOCH 061/200 | Test: loss 2.174592, acc 0.611021, avg acc 0.534564 | Train: loss 2.191029, acc 0.605761, avg acc 0.504279 | lr 0.00034300 | 2022-02-16-09-39-55
EPOCH 062/200 | Test: loss 2.093277, acc 0.645462, avg acc 0.576087 | Train: loss 2.195249, acc 0.602097, avg acc 0.500352 | lr 0.00034300 | 2022-02-16-09-40-24
EPOCH 063/200 | Test: loss 2.109293, acc 0.628444, avg acc 0.557924 | Train: loss 2.176789, acc 0.614312, avg acc 0.518986 | lr 0.00034300 | 2022-02-16-09-40-53
EPOCH 064/200 | Test: loss 2.187009, acc 0.594408, avg acc 0.531349 | Train: loss 2.172801, acc 0.611767, avg acc 0.511411 | lr 0.00034300 | 2022-02-16-09-41-23
EPOCH 065/200 | Test: loss 2.086412, acc 0.652755, avg acc 0.578093 | Train: loss 2.192706, acc 0.602708, avg acc 0.501156 | lr 0.00034300 | 2022-02-16-09-41-53
EPOCH 066/200 | Test: loss 2.103897, acc 0.639384, avg acc 0.567401 | Train: loss 2.173572, acc 0.615024, avg acc 0.509538 | lr 0.00034300 | 2022-02-16-09-42-22
EPOCH 067/200 | Test: loss 2.124582, acc 0.638169, avg acc 0.562581 | Train: loss 2.169534, acc 0.613498, avg acc 0.517106 | lr 0.00034300 | 2022-02-16-09-42-52
EPOCH 068/200 | Test: loss 2.231289, acc 0.576985, avg acc 0.519605 | Train: loss 2.159477, acc 0.622964, avg acc 0.527168 | lr 0.00034300 | 2022-02-16-09-43-21
EPOCH 069/200 | Test: loss 2.148563, acc 0.620746, avg acc 0.537314 | Train: loss 2.154892, acc 0.620318, avg acc 0.518904 | lr 0.00034300 | 2022-02-16-09-43-51
EPOCH 070/200 | Test: loss 2.090367, acc 0.635737, avg acc 0.559209 | Train: loss 2.155091, acc 0.620419, avg acc 0.515412 | lr 0.00034300 | 2022-02-16-09-44-20
EPOCH 071/200 | Test: loss 2.101236, acc 0.639384, avg acc 0.564698 | Train: loss 2.136354, acc 0.630090, avg acc 0.529662 | lr 0.00034300 | 2022-02-16-09-44-50
EPOCH 072/200 | Test: loss 2.123820, acc 0.620746, avg acc 0.549715 | Train: loss 2.135660, acc 0.628563, avg acc 0.532897 | lr 0.00034300 | 2022-02-16-09-45-19
EPOCH 073/200 | Test: loss 2.092931, acc 0.658428, avg acc 0.592407 | Train: loss 2.132642, acc 0.629275, avg acc 0.531625 | lr 0.00034300 | 2022-02-16-09-45-49
EPOCH 074/200 | Test: loss 2.077036, acc 0.655186, avg acc 0.584180 | Train: loss 2.125941, acc 0.633245, avg acc 0.534170 | lr 0.00034300 | 2022-02-16-09-46-21
EPOCH 075/200 | Test: loss 2.099794, acc 0.648298, avg acc 0.575488 | Train: loss 2.113813, acc 0.637520, avg acc 0.537599 | lr 0.00034300 | 2022-02-16-09-46-53
EPOCH 076/200 | Test: loss 2.060552, acc 0.659238, avg acc 0.583017 | Train: loss 2.120560, acc 0.643526, avg acc 0.550588 | lr 0.00034300 | 2022-02-16-09-47-23
EPOCH 077/200 | Test: loss 2.076706, acc 0.660049, avg acc 0.592163 | Train: loss 2.127891, acc 0.636706, avg acc 0.540351 | lr 0.00034300 | 2022-02-16-09-47-53
EPOCH 078/200 | Test: loss 2.051641, acc 0.672609, avg acc 0.591215 | Train: loss 2.109567, acc 0.636808, avg acc 0.540646 | lr 0.00034300 | 2022-02-16-09-48-22
EPOCH 079/200 | Test: loss 2.026301, acc 0.685575, avg acc 0.597837 | Train: loss 2.111523, acc 0.638131, avg acc 0.539747 | lr 0.00034300 | 2022-02-16-09-48-52
EPOCH 080/200 | Test: loss 1.982064, acc 0.693679, avg acc 0.613535 | Train: loss 2.093987, acc 0.654011, avg acc 0.560433 | lr 0.00024010 | 2022-02-16-09-49-22
EPOCH 081/200 | Test: loss 2.041848, acc 0.672609, avg acc 0.601151 | Train: loss 2.078798, acc 0.655334, avg acc 0.557167 | lr 0.00024010 | 2022-02-16-09-49-51
EPOCH 082/200 | Test: loss 2.009770, acc 0.687196, avg acc 0.613797 | Train: loss 2.075237, acc 0.651975, avg acc 0.562199 | lr 0.00024010 | 2022-02-16-09-50-21
EPOCH 083/200 | Test: loss 2.089976, acc 0.657212, avg acc 0.582866 | Train: loss 2.071563, acc 0.659100, avg acc 0.566056 | lr 0.00024010 | 2022-02-16-09-50-50
EPOCH 084/200 | Test: loss 1.967726, acc 0.709887, avg acc 0.626145 | Train: loss 2.072368, acc 0.653909, avg acc 0.559465 | lr 0.00024010 | 2022-02-16-09-51-20
EPOCH 085/200 | Test: loss 2.024574, acc 0.678282, avg acc 0.618948 | Train: loss 2.074722, acc 0.656759, avg acc 0.560665 | lr 0.00024010 | 2022-02-16-09-51-50
EPOCH 086/200 | Test: loss 2.040852, acc 0.675041, avg acc 0.613227 | Train: loss 2.073105, acc 0.658489, avg acc 0.567037 | lr 0.00024010 | 2022-02-16-09-52-19
EPOCH 087/200 | Test: loss 2.382235, acc 0.525932, avg acc 0.482634 | Train: loss 2.055878, acc 0.658897, avg acc 0.568192 | lr 0.00024010 | 2022-02-16-09-52-49
EPOCH 088/200 | Test: loss 1.990292, acc 0.701378, avg acc 0.637657 | Train: loss 2.058706, acc 0.663884, avg acc 0.569912 | lr 0.00024010 | 2022-02-16-09-53-18
EPOCH 089/200 | Test: loss 1.971092, acc 0.709481, avg acc 0.639087 | Train: loss 2.062738, acc 0.662968, avg acc 0.571554 | lr 0.00024010 | 2022-02-16-09-53-48
EPOCH 090/200 | Test: loss 2.008515, acc 0.689222, avg acc 0.621465 | Train: loss 2.054452, acc 0.668465, avg acc 0.577288 | lr 0.00024010 | 2022-02-16-09-54-17
EPOCH 091/200 | Test: loss 1.964960, acc 0.711102, avg acc 0.639512 | Train: loss 2.055798, acc 0.663783, avg acc 0.569050 | lr 0.00024010 | 2022-02-16-09-54-47
EPOCH 092/200 | Test: loss 2.037234, acc 0.673015, avg acc 0.617047 | Train: loss 2.052871, acc 0.669890, avg acc 0.579370 | lr 0.00024010 | 2022-02-16-09-55-16
EPOCH 093/200 | Test: loss 2.023121, acc 0.684360, avg acc 0.606820 | Train: loss 2.052416, acc 0.661441, avg acc 0.569385 | lr 0.00024010 | 2022-02-16-09-55-46
EPOCH 094/200 | Test: loss 1.952127, acc 0.720827, avg acc 0.634076 | Train: loss 2.056946, acc 0.663783, avg acc 0.572667 | lr 0.00024010 | 2022-02-16-09-56-16
EPOCH 095/200 | Test: loss 1.929222, acc 0.725689, avg acc 0.642901 | Train: loss 2.043998, acc 0.670704, avg acc 0.583169 | lr 0.00024010 | 2022-02-16-09-56-45
EPOCH 096/200 | Test: loss 1.985210, acc 0.698947, avg acc 0.627547 | Train: loss 2.027209, acc 0.677830, avg acc 0.591321 | lr 0.00024010 | 2022-02-16-09-57-15
EPOCH 097/200 | Test: loss 1.991902, acc 0.689222, avg acc 0.619093 | Train: loss 2.038001, acc 0.678441, avg acc 0.590440 | lr 0.00024010 | 2022-02-16-09-57-44
EPOCH 098/200 | Test: loss 1.951698, acc 0.725689, avg acc 0.660581 | Train: loss 2.031492, acc 0.677321, avg acc 0.588118 | lr 0.00024010 | 2022-02-16-09-58-14
EPOCH 099/200 | Test: loss 2.080286, acc 0.668152, avg acc 0.603779 | Train: loss 2.023299, acc 0.677321, avg acc 0.584012 | lr 0.00024010 | 2022-02-16-09-58-43
EPOCH 100/200 | Test: loss 2.024234, acc 0.686386, avg acc 0.616622 | Train: loss 2.009629, acc 0.686991, avg acc 0.600966 | lr 0.00016807 | 2022-02-16-09-59-12
EPOCH 101/200 | Test: loss 2.016640, acc 0.681929, avg acc 0.616105 | Train: loss 2.010571, acc 0.684243, avg acc 0.598939 | lr 0.00016807 | 2022-02-16-09-59-42
EPOCH 102/200 | Test: loss 1.981123, acc 0.700162, avg acc 0.630866 | Train: loss 2.018867, acc 0.681291, avg acc 0.590830 | lr 0.00016807 | 2022-02-16-10-00-11
EPOCH 103/200 | Test: loss 1.920240, acc 0.717585, avg acc 0.651703 | Train: loss 2.014156, acc 0.687398, avg acc 0.600450 | lr 0.00016807 | 2022-02-16-10-00-41
EPOCH 104/200 | Test: loss 2.097433, acc 0.660049, avg acc 0.600767 | Train: loss 1.994057, acc 0.695745, avg acc 0.603109 | lr 0.00016807 | 2022-02-16-10-01-10
EPOCH 105/200 | Test: loss 1.980175, acc 0.702998, avg acc 0.631884 | Train: loss 2.002832, acc 0.692997, avg acc 0.611281 | lr 0.00016807 | 2022-02-16-10-01-39
EPOCH 106/200 | Test: loss 1.911307, acc 0.739060, avg acc 0.677791 | Train: loss 1.999979, acc 0.687500, avg acc 0.598172 | lr 0.00016807 | 2022-02-16-10-02-09
EPOCH 107/200 | Test: loss 1.901229, acc 0.741896, avg acc 0.663936 | Train: loss 2.005994, acc 0.688823, avg acc 0.600599 | lr 0.00016807 | 2022-02-16-10-02-38
EPOCH 108/200 | Test: loss 1.984586, acc 0.707050, avg acc 0.637134 | Train: loss 2.008028, acc 0.682410, avg acc 0.600060 | lr 0.00016807 | 2022-02-16-10-03-08
EPOCH 109/200 | Test: loss 2.025843, acc 0.681524, avg acc 0.603738 | Train: loss 1.995052, acc 0.687704, avg acc 0.597350 | lr 0.00016807 | 2022-02-16-10-03-38
EPOCH 110/200 | Test: loss 2.000653, acc 0.688412, avg acc 0.632128 | Train: loss 1.996534, acc 0.690147, avg acc 0.605500 | lr 0.00016807 | 2022-02-16-10-04-07
EPOCH 111/200 | Test: loss 1.913443, acc 0.735008, avg acc 0.663785 | Train: loss 1.984665, acc 0.698799, avg acc 0.613360 | lr 0.00016807 | 2022-02-16-10-04-37
EPOCH 112/200 | Test: loss 1.916853, acc 0.734603, avg acc 0.658948 | Train: loss 1.985827, acc 0.697679, avg acc 0.610922 | lr 0.00016807 | 2022-02-16-10-05-09
EPOCH 113/200 | Test: loss 1.962524, acc 0.709076, avg acc 0.638517 | Train: loss 1.975949, acc 0.697170, avg acc 0.608663 | lr 0.00016807 | 2022-02-16-10-05-39
EPOCH 114/200 | Test: loss 1.957065, acc 0.723663, avg acc 0.665076 | Train: loss 1.992751, acc 0.689943, avg acc 0.603927 | lr 0.00016807 | 2022-02-16-10-06-08
EPOCH 115/200 | Test: loss 1.935909, acc 0.715964, avg acc 0.641424 | Train: loss 1.985582, acc 0.691164, avg acc 0.605904 | lr 0.00016807 | 2022-02-16-10-06-38
EPOCH 116/200 | Test: loss 1.904163, acc 0.734198, avg acc 0.663616 | Train: loss 1.978461, acc 0.693607, avg acc 0.604961 | lr 0.00016807 | 2022-02-16-10-07-08
EPOCH 117/200 | Test: loss 1.924035, acc 0.733793, avg acc 0.672041 | Train: loss 1.967650, acc 0.699308, avg acc 0.612600 | lr 0.00016807 | 2022-02-16-10-07-37
EPOCH 118/200 | Test: loss 1.981166, acc 0.694489, avg acc 0.643285 | Train: loss 1.979440, acc 0.698086, avg acc 0.615688 | lr 0.00016807 | 2022-02-16-10-08-07
EPOCH 119/200 | Test: loss 1.952627, acc 0.722447, avg acc 0.655901 | Train: loss 1.977443, acc 0.698595, avg acc 0.612766 | lr 0.00016807 | 2022-02-16-10-08-36
EPOCH 120/200 | Test: loss 1.897815, acc 0.739465, avg acc 0.672279 | Train: loss 1.976994, acc 0.701344, avg acc 0.620505 | lr 0.00011765 | 2022-02-16-10-09-06
EPOCH 121/200 | Test: loss 1.883251, acc 0.744733, avg acc 0.670901 | Train: loss 1.960388, acc 0.702463, avg acc 0.617933 | lr 0.00011765 | 2022-02-16-10-09-36
EPOCH 122/200 | Test: loss 1.994606, acc 0.701783, avg acc 0.635198 | Train: loss 1.957467, acc 0.707858, avg acc 0.627251 | lr 0.00011765 | 2022-02-16-10-10-05
EPOCH 123/200 | Test: loss 2.139127, acc 0.618314, avg acc 0.564064 | Train: loss 1.959943, acc 0.706535, avg acc 0.624856 | lr 0.00011765 | 2022-02-16-10-10-35
EPOCH 124/200 | Test: loss 1.919841, acc 0.724878, avg acc 0.663401 | Train: loss 1.962172, acc 0.704296, avg acc 0.622378 | lr 0.00011765 | 2022-02-16-10-11-05
EPOCH 125/200 | Test: loss 1.897586, acc 0.735818, avg acc 0.669140 | Train: loss 1.953453, acc 0.709691, avg acc 0.625716 | lr 0.00011765 | 2022-02-16-10-11-34
EPOCH 126/200 | Test: loss 1.962528, acc 0.701378, avg acc 0.640849 | Train: loss 1.960719, acc 0.703787, avg acc 0.620774 | lr 0.00011765 | 2022-02-16-10-12-04
EPOCH 127/200 | Test: loss 1.872863, acc 0.751621, avg acc 0.680988 | Train: loss 1.950511, acc 0.709996, avg acc 0.629215 | lr 0.00011765 | 2022-02-16-10-12-34
EPOCH 128/200 | Test: loss 1.906670, acc 0.729335, avg acc 0.666320 | Train: loss 1.964437, acc 0.703278, avg acc 0.618574 | lr 0.00011765 | 2022-02-16-10-13-03
EPOCH 129/200 | Test: loss 2.368501, acc 0.555105, avg acc 0.526000 | Train: loss 1.957400, acc 0.710607, avg acc 0.622878 | lr 0.00011765 | 2022-02-16-10-13-33
EPOCH 130/200 | Test: loss 1.878035, acc 0.748379, avg acc 0.672785 | Train: loss 1.955579, acc 0.708062, avg acc 0.625499 | lr 0.00011765 | 2022-02-16-10-14-03
EPOCH 131/200 | Test: loss 2.000500, acc 0.700162, avg acc 0.641680 | Train: loss 1.952670, acc 0.709385, avg acc 0.628117 | lr 0.00011765 | 2022-02-16-10-14-32
EPOCH 132/200 | Test: loss 1.908098, acc 0.731361, avg acc 0.669674 | Train: loss 1.953937, acc 0.708978, avg acc 0.627278 | lr 0.00011765 | 2022-02-16-10-15-02
